machine_id,machine_type,issue,action_taken,technician,maintenance_date,downtime_hours
M002,Drill,Nhiệt độ quá cao,Thay dầu,Phạm Văn C,2023-08-17,3.1
M001,Welder,Hỏng cảm biến,Thay cảm biến,Nguyễn Văn A,2023-02-14,5.6
M001,CNC,Mất tín hiệu,Thay dầu,Lê Thị D,2023-11-25,10.5
M002,Welder,Không khởi động được,Thay dầu,Phạm Văn C,2024-05-31,2.0
M003,Drill,Hỏng cảm biến,Kiểm tra hệ thống làm mát,Hoàng Văn E,2024-07-03,6.4
M004,CNC,Cảm biến rung bất thường,Kiểm tra hệ thống làm mát,Nguyễn Văn A,2024-02-16,10.1
M001,Welder,Hư motor,Vệ sinh máy,Phạm Văn C,2024-04-22,7.4
M003,Welder,Mất tín hiệu,Kiểm tra hệ thống làm mát,Nguyễn Văn A,2023-05-01,10.3
M003,CNC,Cảm biến rung bất thường,Thay dầu,Hoàng Văn E,2023-10-27,3.8
M001,CNC,Cảm biến rung bất thường,Vệ sinh máy,Trần Thị B,2024-03-12,6.1
M004,Welder,Hỏng cảm biến,Cập nhật phần mềm,Phạm Văn C,2024-09-10,9.5
M003,Conveyor,Rò rỉ dầu,Kiểm tra hệ thống làm mát,Hoàng Văn E,2023-02-09,9.7
M001,CNC,Quá tải,Cập nhật phần mềm,Phạm Văn C,2023-10-08,10.0
M002,Welder,Mất tín hiệu,Vệ sinh máy,Phạm Văn C,2023-11-29,2.5
M001,CNC,Mất tín hiệu,Kiểm tra hệ thống làm mát,Trần Thị B,2023-04-27,3.7
M001,Conveyor,Lỏng vít,Siết lại vít,Nguyễn Văn A,2023-04-15,9.7
M001,Welder,Không khởi động được,Hiệu chỉnh motor,Nguyễn Văn A,2024-08-09,4.4
M002,CNC,Không khởi động được,Hiệu chỉnh motor,Phạm Văn C,2023-03-29,2.7
M004,Welder,Lỏng vít,Thay dầu,Trần Thị B,2023-01-02,2.4
M004,CNC,Hỏng dây chuyền,Hiệu chỉnh motor,Phạm Văn C,2023-10-02,10.7
M002,Welder,Cảm biến rung bất thường,Cập nhật phần mềm,Trần Thị B,2023-10-29,3.9
M001,CNC,Mất tín hiệu,Cập nhật phần mềm,Trần Thị B,2023-12-18,1.3
M003,Conveyor,Rò rỉ dầu,Kiểm tra hệ thống làm mát,Trần Thị B,2024-10-04,4.6
M001,Welder,Rò rỉ dầu,Thay dầu,Trần Thị B,2023-06-21,9.3
M003,Drill,Không khởi động được,Kiểm tra nguồn điện,Hoàng Văn E,2024-03-05,1.8
M002,Welder,Nhiệt độ quá cao,Thay dầu,Trần Thị B,2023-12-21,6.8
M004,CNC,Cảm biến rung bất thường,Kiểm tra hệ thống làm mát,Phạm Văn C,2024-09-10,2.4
M003,Conveyor,Mất tín hiệu,Thay cảm biến,Hoàng Văn E,2023-01-22,9.4
M001,Conveyor,Mất tín hiệu,Hiệu chỉnh motor,Nguyễn Văn A,2024-06-06,4.6
M003,Welder,Quá tải,Kiểm tra nguồn điện,Hoàng Văn E,2024-01-19,7.4
M002,CNC,Hư motor,Kiểm tra nguồn điện,Lê Thị D,2023-07-23,11.5
M004,Welder,Hư motor,Hiệu chỉnh motor,Phạm Văn C,2024-06-26,9.1
M001,Drill,Hư motor,Thay cảm biến,Nguyễn Văn A,2023-11-21,11.5
M003,CNC,Lỏng vít,Thay cảm biến,Nguyễn Văn A,2023-02-19,11.7
M004,Conveyor,Không khởi động được,Hiệu chỉnh motor,Lê Thị D,2023-07-25,4.4
M003,Welder,Hư motor,Kiểm tra nguồn điện,Phạm Văn C,2023-01-10,9.3
M001,Drill,Hư motor,Cập nhật phần mềm,Lê Thị D,2023-07-01,6.6
M003,CNC,Không khởi động được,Cập nhật phần mềm,Phạm Văn C,2023-08-31,8.9
M001,Welder,Hỏng cảm biến,Vệ sinh máy,Trần Thị B,2024-02-20,3.8
M001,CNC,Không khởi động được,Kiểm tra hệ thống làm mát,Phạm Văn C,2023-08-20,11.4
M003,CNC,Rò rỉ dầu,Kiểm tra hệ thống làm mát,Lê Thị D,2024-06-03,4.2
M001,CNC,Nhiệt độ quá cao,Kiểm tra nguồn điện,Hoàng Văn E,2024-05-27,11.7
M004,Drill,Nhiệt độ quá cao,Vệ sinh máy,Lê Thị D,2023-07-16,3.9
M001,Conveyor,Cảm biến rung bất thường,Thay cảm biến,Nguyễn Văn A,2024-03-12,3.2
M004,Conveyor,Hỏng dây chuyền,Kiểm tra hệ thống làm mát,Hoàng Văn E,2023-02-11,12.0
M003,Welder,Nhiệt độ quá cao,Siết lại vít,Trần Thị B,2023-12-10,7.4
M002,CNC,Hỏng cảm biến,Kiểm tra hệ thống làm mát,Lê Thị D,2023-06-17,1.3
M001,Drill,Hỏng dây chuyền,Cập nhật phần mềm,Trần Thị B,2023-03-16,5.4
M001,Conveyor,Hỏng cảm biến,Thay cảm biến,Hoàng Văn E,2023-01-10,8.9
M004,Welder,Mất tín hiệu,Hiệu chỉnh motor,Trần Thị B,2024-07-15,2.3
M001,Welder,Hư motor,Kiểm tra nguồn điện,Phạm Văn C,2023-01-28,11.5
M003,Drill,Rò rỉ dầu,Thay cảm biến,Hoàng Văn E,2024-07-24,11.0
M004,Conveyor,Hỏng cảm biến,Kiểm tra hệ thống làm mát,Phạm Văn C,2023-03-26,5.2
M004,Conveyor,Nhiệt độ quá cao,Thay cảm biến,Nguyễn Văn A,2023-07-26,2.4
M002,Drill,Nhiệt độ quá cao,Thay dầu,Phạm Văn C,2024-06-12,8.9
M001,CNC,Quá tải,Thay dầu,Trần Thị B,2024-06-17,3.5
M003,Welder,Quá tải,Thay dầu,Nguyễn Văn A,2024-09-14,1.9
M002,Drill,Rò rỉ dầu,Kiểm tra hệ thống làm mát,Nguyễn Văn A,2024-09-04,10.9
M003,CNC,Rò rỉ dầu,Kiểm tra nguồn điện,Lê Thị D,2023-06-01,6.8
M004,Drill,Hỏng cảm biến,Hiệu chỉnh motor,Phạm Văn C,2023-05-10,1.7
M002,Welder,Hư motor,Siết lại vít,Trần Thị B,2024-08-29,8.3
M004,Welder,Mất tín hiệu,Thay dầu,Nguyễn Văn A,2023-03-09,7.0
M003,CNC,Quá tải,Hiệu chỉnh motor,Lê Thị D,2023-09-02,3.9
M003,Drill,Hư motor,Kiểm tra hệ thống làm mát,Phạm Văn C,2023-02-21,1.9
M001,CNC,Mất tín hiệu,Cập nhật phần mềm,Hoàng Văn E,2024-09-13,9.9
M002,Drill,Nhiệt độ quá cao,Kiểm tra hệ thống làm mát,Hoàng Văn E,2023-05-25,8.4
M002,CNC,Quá tải,Siết lại vít,Trần Thị B,2023-01-27,10.0
M003,Drill,Hỏng dây chuyền,Kiểm tra hệ thống làm mát,Hoàng Văn E,2023-06-29,2.6
M004,Welder,Mất tín hiệu,Kiểm tra hệ thống làm mát,Hoàng Văn E,2024-09-12,10.5
M004,Conveyor,Nhiệt độ quá cao,Kiểm tra nguồn điện,Trần Thị B,2024-06-28,10.6
M001,CNC,Lỏng vít,Cập nhật phần mềm,Hoàng Văn E,2023-11-08,1.1
M004,Welder,Hỏng cảm biến,Kiểm tra nguồn điện,Hoàng Văn E,2024-02-15,11.4
M001,Drill,Lỏng vít,Hiệu chỉnh motor,Phạm Văn C,2024-03-03,10.1
M003,Welder,Hư motor,Hiệu chỉnh motor,Trần Thị B,2023-08-05,3.9
M001,Drill,Hỏng dây chuyền,Cập nhật phần mềm,Phạm Văn C,2023-05-18,1.1
M004,Welder,Hư motor,Siết lại vít,Phạm Văn C,2023-06-11,6.3
M004,Welder,Hỏng dây chuyền,Siết lại vít,Phạm Văn C,2023-03-06,5.4
